"No.","Time","Source","Destination","Protocol","Length","Info"
"99","0.584999820","142.250.75.68","192.168.126.132","QUIC","1292","Handshake, SCID=e26c13aa31d756cf"
"100","0.584999855","142.250.75.68","192.168.126.132","QUIC","1292","Handshake, SCID=e26c13aa31d756cf"
"101","0.585999044","142.250.75.68","192.168.126.132","QUIC","989","Protected Payload (KP0)"
"102","0.585999244","142.250.75.68","192.168.126.132","QUIC","85","Handshake, SCID=e26c13aa31d756cf"
"103","0.586054661","192.168.126.132","142.250.75.68","QUIC","81","Handshake, DCID=e26c13aa31d756cf"
"104","0.586504414","192.168.126.132","142.250.75.68","QUIC","81","Handshake, DCID=e26c13aa31d756cf"
"105","0.589088931","192.168.126.132","142.250.75.68","QUIC","125","Handshake, DCID=e26c13aa31d756cf"
"106","0.589399241","192.168.126.132","142.250.75.68","QUIC","116","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"107","0.590342963","192.168.126.132","142.250.75.68","QUIC","794","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"108","0.590717806","192.168.126.132","142.250.75.68","QUIC","153","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"109","0.591134644","192.168.126.132","142.250.75.68","QUIC","150","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"110","0.591514135","192.168.126.132","142.250.75.68","QUIC","126","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"111","0.608900268","192.168.126.132","173.194.76.84","TCP","74","37032  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1410453787 TSecr=0 WS=128"
"112","0.617297376","192.168.126.132","142.250.75.68","QUIC","199","Protected Payload (KP0), DCID=e26c13aa31d756cf"
"113","0.629671054","142.250.75.68","192.168.126.132","QUIC","1042","Protected Payload (KP0)"
"114","0.629671391","142.250.75.68","192.168.126.132","QUIC","179","Protected Payload (KP0)"
"115","0.629671427","142.250.75.68","192.168.126.132","QUIC","69","Protected Payload (KP0)"
"116","0.629671457","142.250.75.68","192.168.126.132","QUIC","70","Protected Payload (KP0)"
"117","0.629671489","142.250.75.68","192.168.126.132","QUIC","71","Protected Payload (KP0)"
"118","0.629896693","192.168.126.132","142.250.75.68","QUIC","75","Protected Payload (KP0), DCID=e26c13aa31d756cf"
